ARNT	HSE	Brachyury	p53	YY1	FOXO3A	ISRE	LHX8	ER	Hnf1a	ETS1	Foxc2	GAS_ISRE	MEF1	HIF1	CRE	Myc	AP2	AP3	AP4	GATA	Elk1	AP1	E2F1
0.981330672	1.108409137	1.080019509	1.004695688	1.026665608	1.045255541	1.081652791	1.18925663	1.323764263	1.002483951	1.048635528	0.970975206	0.955413652	0.934509902	1.007474537	1.11080235	1.352993217	1.064673457	1.090306921	1.028729896	1.037565501	0.989236214	1.014994442	1.196130027
1.031331731	1.183325172	1.045657629	0.976362649	1.09110648	1.107083613	1.08636914	1.178815589	1.24315686	1.051920938	1.030397929	0.989276455	1.005014444	1.013840016	0.983047309	1.088703647	1.298888927	1.125668561	1.052091756	1.09263245	1.079001211	1.018679846	0.984243032	1.132227954
1.037680096	1.20222263	1.064473443	1.092859401	1.112251789	1.10610384	1.129711964	1.213909588	1.325064505	1.087355523	1.161458801	1.025021176	1.082694792	1.049437316	1.057763396	1.217926248	1.417049531	1.13763989	1.181729467	1.146270439	1.069754824	1.102497043	1.051428081	1.197163746
1.058693224	1.124336664	1.093275064	1.124810543	1.102538258	1.055218116	1.120049193	1.229221749	1.321503925	1.128928772	1.175854015	1.00212117	1.076531361	1.109578737	1.003610502	1.123163251	1.347612367	1.103993742	1.148989624	1.148154695	1.032280145	1.021256831	1.102967005	1.139534621
1.122704267	1.22349663	1.215329138	1.117918909	1.23300738	1.180896145	1.093452414	1.198838241	1.392351422	1.199605818	1.098189799	1.134973495	1.151284491	1.053106685	1.024958223	1.104786158	1.272249718	1.211215409	1.108408159	1.220774133	1.099557045	1.024562442	1.06550784	1.19688332
1.072990807	1.250768671	1.135061455	1.086234404	1.09687575	1.110072879	1.138999682	1.311038654	1.307658052	1.191323508	1.118553427	1.025313858	1.04754916	1.0879886	1.108190894	1.218159217	1.290487845	1.192055391	1.082865419	1.056099412	1.058841069	1.072700377	1.112059418	1.177801098
1.123613253	1.184843059	1.211686921	1.278461647	1.134789926	1.267322188	1.221375024	1.302688108	1.391084298	1.118130357	1.233432433	1.19923256	1.106792423	1.168754109	1.151499113	1.26052439	1.317772274	1.131775573	1.231348437	1.242872442	1.16941156	1.067270915	1.050909061	1.217814863
1.078322686	1.122590095	1.217849383	1.117346464	1.17626448	1.162754848	1.066281756	1.157098524	1.336437973	1.157960325	1.136682352	1.103484829	1.077254539	1.09014513	1.064024082	1.149184526	1.297268538	1.128404213	1.144074414	1.088057389	1.115282998	1.094029301	1.031421323	1.103363449
1.185554327	1.170950535	1.397908922	1.25581509	1.305475978	1.247367276	1.25132469	1.280425677	1.515485438	1.270338934	1.247260679	1.265422146	1.145980182	1.294683029	1.098371286	1.308727187	1.441320559	1.169884564	1.235561655	1.182369741	1.248313324	1.141329887	1.142169338	1.174454912
1.123859887	1.223656299	1.225794611	1.190198765	1.249405669	1.264335438	1.255321238	1.328702459	1.357243157	1.147855073	1.246307038	1.137995792	1.220429626	1.232939389	1.164590242	1.218201684	1.275513558	1.186472725	1.206946739	1.217330994	1.209046637	1.164833523	1.153565773	1.191274323
0.972577868	1.055469331	1.194973956	1.227413628	1.227196768	1.252467312	1.241484001	1.286195386	1.418199213	1.083559052	1.302880833	1.068710535	1.109977676	1.12238971	1.04758584	1.08507707	1.297038376	1.108829595	1.113128521	1.216136919	1.12663761	1.103497396	1.125757415	1.202257893
1.311338015	1.822785544	1.365103395	1.569458223	1.667615796	1.950531469	1.760999807	1.814127424	1.480055402	1.159840237	1.153423952	1.328441667	1.535734072	1.622566514	1.754757457	1.805817175	1.059614765	0.646807962	0.9091606	1.121187915	1.577517232	1.593132771	1.461811506	1.756516137
0.978752019	1.282689096	0.877456195	1.197300321	1.453747747	1.572752978	1.413913983	1.517690116	1.376907771	1.020603101	0.946342646	1.047324298	1.335966136	1.37999989	1.348285004	1.497235833	0.992889781	0.621174123	0.885095547	0.745371468	1.120328062	1.093342299	1.190553881	1.531811342
1.041283467	1.358475869	0.925490997	1.112596158	1.428628218	1.525887447	1.367887533	1.419071511	1.372657828	0.969729039	0.920543427	0.954854098	1.158687524	1.23523787	1.359636211	1.504018222	0.996191285	0.62362478	0.810842752	0.834371911	1.125408269	1.118961924	1.208840088	1.557506769
1.110216562	1.452462971	1.007428187	1.088605251	1.319176391	1.547475314	1.376251122	1.408600763	1.449096724	1.131861535	0.788218133	1.095489228	1.218794883	1.274792415	1.345483618	1.68885772	1.044877693	0.614856373	0.945506059	0.84089991	1.134268402	1.246229803	1.325	1.473333707
0.992180453	1.478975797	0.978323715	1.058089618	1.244421984	1.376240314	1.362921544	1.40419832	1.435433037	1.020806843	0.801495441	1.075630617	1.130486996	1.219153815	1.350776521	1.38721159	1.035902536	0.685865041	0.967776292	0.862465086	1.215322835	1.330920631	1.163514938	1.538298936
1.090155452	1.373056855	0.865257325	1.01130851	1.219130679	1.257519243	1.214214872	1.334668291	1.358374119	1.013087256	0.832043294	1.0347071	1.127040167	1.275807982	1.360896703	1.472019793	1.167595567	0.662997779	0.883643087	0.830539445	1.118405166	1.197041892	1.131212134	1.375304543
1.06683529	1.532270222	0.973550646	1.097472319	1.300775557	1.331630346	1.470627649	1.448181712	1.430693981	1.083250976	0.791269536	1.173604248	1.247525084	1.402820818	1.324126032	1.452905409	1.172816965	0.662289151	1.016666946	0.907284879	1.194224359	1.314695389	1.300072028	1.684617833
1.08576493	1.536608106	0.929293532	1.092724996	1.326326288	1.362460091	1.370932508	1.480423458	1.349629501	1.070820301	0.813525512	1.120516476	1.095050439	1.264059713	1.416172939	1.571798722	1.064234257	0.693057822	0.891273356	1.004439482	1.266368894	1.42971905	1.205452052	1.527355121
