ARNT	HSE	Brachyury	p53	YY1	FOXO3A	ISRE	LHX8	ER	Hnf1a	ETS1	Foxc2	GAS/ISRE	MEF1	HIF1	CRE	Myc	AP2	AP3	AP4	GATA	Elk1	AP1	E2f(1)
0.979339357	1.109352052	1.081902913	1.032445388	1.028988909	1.011557158	1.047252775	1.131552464	1.114323408	0.978901963	1.012559964	0.962494355	0.97995811	1.019728958	1.035027079	1.127935963	1.128522711	1.056864774	1.02121183	0.99135169	1.002681261	1.032861446	1.048426271	1.13796402
0.981060911	1.016967734	1.00881075	0.970409559	1.018325555	0.997887834	1.034015932	1.06765972	1.154902237	0.975106614	0.974472964	0.918188767	0.981272127	0.977329417	1.018395961	1.086075797	1.150889121	1.031954055	1.036610879	0.966326038	0.981624155	0.981614097	1.003640972	1.081831349
1.023504873	1.07284408	1.026468429	1.043538913	1.023895341	1.061670671	0.970791617	1.04789414	1.146172073	1.039524096	0.9590275	0.97567748	1.021001869	1.014574156	1.025577359	1.080032706	1.201488453	0.993779202	1.042107195	1.058837271	1.015825657	1.044530103	0.982075157	1.014313843
0.969859319	1.029697883	1.050688534	1.112768129	1.094099633	1.01604889	1.06095063	1.126325859	1.137662838	1.005117527	1.067318808	0.991590219	1.000797712	1.061112876	0.976349182	1.034261068	1.244157433	1.042231431	1.000797712	1.117544263	1.010583209	1.036968558	1.059084794	1.046064507
1.055840667	1.114388286	1.201241734	1.147095885	1.168462811	1.065245375	1.124944383	1.092389625	1.29436159	1.050776593	1.063217708	1.073590398	1.100907865	1.056258427	1.154483115	1.090922368	1.217544587	1.037652797	1.049003658	1.117648857	1.111749262	1.077604975	1.183186325	1.188678348
1.129617042	1.368496276	1.278398507	1.226791245	1.254909597	1.2917798	1.171359182	1.297643761	1.37530817	1.174842287	1.166762807	1.227849404	1.147892318	1.180199213	1.299308156	1.224983558	1.367427095	1.29040199	1.283975883	1.285530053	1.316988217	1.266736721	1.194605597	1.311322661
1.138453754	1.453883688	1.294943434	1.455184877	1.369490729	1.224625005	1.344876568	1.338121227	1.470636498	1.283850797	1.228257491	1.330422525	1.311902266	1.33301406	1.251949977	1.406260166	1.571359381	1.272270214	1.383576101	1.280370116	1.275197889	1.266870279	1.3506018	1.247439187
1.420235703	1.51586149	1.558058514	1.479748326	1.560097609	1.489876949	1.430687461	1.465608367	1.694209934	1.491893759	1.411979037	1.419010017	1.383130848	1.500540416	1.473296761	1.526134967	1.757522183	1.464237828	1.42888236	1.510234477	1.528675479	1.446108819	1.398217927	1.523951017
1.635880882	1.741655681	1.690055814	1.726698126	1.70713256	1.711481833	1.66996045	1.78633121	1.839631359	1.557877358	1.645996328	1.625765435	1.620800118	1.710717938	1.679595382	1.74944248	1.852999519	1.508704705	1.713748876	1.648571393	1.689008538	1.747951653	1.670946121	1.78911573
1.33346877	1.452935125	1.436071391	1.521005114	1.536202603	1.508055377	1.374912401	1.564316281	1.583047549	1.427248125	1.388354183	1.497386941	1.486953345	1.437961292	1.415338393	1.554687849	1.659146823	1.440868833	1.445118315	1.543359625	1.505147837	1.446605633	1.444581538	1.56470768
1.429814941	1.549236527	1.524560744	1.667484719	1.616430582	1.605973572	1.547027786	1.550156836	1.688260693	1.554148676	1.546349058	1.484837911	1.445954859	1.497963817	1.575350293	1.505061699	1.734264635	1.45403057	1.520844997	1.478970941	1.484527306	1.514333811	1.596920033	1.545566795
1.342133535	1.386305568	1.486209153	1.500030991	1.407162288	1.414589718	1.366967391	1.451675218	1.544275335	1.41562274	1.456706036	1.433029166	1.357102028	1.371202782	1.371936228	1.396821735	1.644333873	1.33351813	1.506817947	1.425105885	1.367752488	1.460094349	1.358228022	1.471509246
1.552559323	1.616850386	1.788973614	1.783514369	1.801329382	1.773936534	1.634460074	1.725129436	1.959768264	1.653519119	1.70541818	1.746193425	1.71037015	1.76626702	1.77992721	1.790265957	1.859013793	1.577862681	1.800846263	1.785917886	1.82299727	1.768585991	1.770699637	1.759261794
